top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,ImageId,in_treatment,bound_size,bounding_box_score
297,604,866,104,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2JKM9ZTUWHVPF,Submitted,100% (1/1),100% (1/1),100% (1/1),190,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,45.7062991246264
301,592,850,120,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1G85JMLZY7B28,Submitted,0% (0/0),0% (0/0),0% (0/0),301,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,27.9105368875531
326,580,857,121,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3NBJ2WSWYJPWY,Submitted,0% (0/0),0% (0/0),0% (0/0),43,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,20.8513409509519
316,596,859,119,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2ZY1BYHGB34W5,Submitted,0% (0/0),0% (0/0),0% (0/0),301,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,22.4111499017356
320,579,855,120,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FJ8YQ6VHGD2L,Submitted,0% (0/0),0% (0/0),0% (0/0),236,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,13.7529510164653
318,582,869,104,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2H75L5IY3FR41,Submitted,0% (0/0),0% (0/0),0% (0/0),313,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,23.9803888687886
318,579,865,105,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AE2N5QUSIL9JE,Submitted,0% (0/0),0% (0/0),0% (0/0),6,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,18.8565022573628
315,586,861,118,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3G0UTSYPCMFBU,Submitted,0% (0/0),0% (0/0),0% (0/0),592,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,14.1261736473105
325,574,856,128,3ZQX1VYFUGNYB9PSNZYVMQCXCTWO87,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3DB4V3R2RXTKU,Submitted,0% (0/0),0% (0/0),0% (0/0),315,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/10496f2878b93ee9.jpg,0,197181.8201088,27.5502750425975
697,997,536,305,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AMMUQ5FYIZ1GQ,Submitted,0% (0/0),0% (0/0),0% (0/0),496,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1027.78090292828
705,991,501,302,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AE2N5QUSIL9JE,Submitted,0% (0/0),0% (0/0),0% (0/0),17,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1030.49553584037
712,994,511,303,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1VMYCTZSIBP5J,Submitted,0% (0/0),0% (0/0),0% (0/0),31,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1039.83696378415
704,991,514,305,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1FPCIKO68OQ63,Submitted,0% (0/0),0% (0/0),0% (0/0),22,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1028.36161043578
714,988,487,325,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3DB4V3R2RXTKU,Submitted,0% (0/0),0% (0/0),0% (0/0),176,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1030.61943341682
663,1005,640,198,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A1QRO7EU8B0J4U,Submitted,0% (0/0),0% (0/0),0% (0/0),11,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1063.69285815032
689,989,506,298,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,AXZBVDVY0VM3V,Submitted,0% (0/0),0% (0/0),0% (0/0),51,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1013.70499614896
687,988,494,334,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A3AFGG80UCEYNA,Submitted,0% (0/0),0% (0/0),0% (0/0),72,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1000.79030823874
709,984,511,308,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A16VLS2Z2GYR29,Submitted,0% (0/0),0% (0/0),0% (0/0),95,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1025.79027561805
711,984,503,310,329E6HTMTZKTKLY7DQB6OSNDC2UK3R,3AKE04YHPRJMSFDAM48Z0H4PATIZHQ,$0.02,3600,A2FJ8YQ6VHGD2L,Submitted,0% (0/0),0% (0/0),0% (0/0),131,1,1,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/104b3a47edc67285.jpg,0,135.084192,1027.32914629347
