top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,is_mobile,is_cellphone,mousetrackpad2,ImageId,in_treatment,bound_size,bounding_box_score
427,583,545,141,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A3489E1F11NLTI,Submitted,0% (0/0),0% (0/0),0% (0/0),47,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.11499980304106
435,579,521,138,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A094612415T5EHTYKXTQ,Submitted,0% (0/0),0% (0/0),0% (0/0),60,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,31.7949046101883
430,582,544,145,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2DXRVH1QMB7RN,Submitted,0% (0/0),0% (0/0),0% (0/0),388,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.95486994396945
424,582,541,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A3JQJT926ICVSA,Submitted,0% (0/0),0% (0/0),0% (0/0),87,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.41486423596926
427,578,545,144,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A358D9A3LGWHPQ,Submitted,0% (0/0),0% (0/0),0% (0/0),80,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.08902992608946
426,580,543,145,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A3OKWRLKLYVH4F,Submitted,0% (0/0),0% (0/0),0% (0/0),210,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
427,577,542,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A20NC7KRFMB2I8,Submitted,0% (0/0),0% (0/0),0% (0/0),90,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.40448812633967
430,579,543,145,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2FT02WD8F761E,Submitted,0% (0/0),0% (0/0),0% (0/0),139,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.80652256792686
430,573,545,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2DJ95HY0IJ82H,Submitted,0% (0/0),0% (0/0),0% (0/0),100,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.7999654578458
426,581,544,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AXP7FBGYNKL90,Submitted,0% (0/0),0% (0/0),0% (0/0),141,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.73990475974505
421,597,549,141,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A295YD88UD5KKM,Submitted,0% (0/0),0% (0/0),0% (0/0),39,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,21.4655231503487
430,574,544,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2LKQQ3GNDQ017,Submitted,0% (0/0),0% (0/0),0% (0/0),26,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.9238783614216
424,597,539,131,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1OR0VL67VF5RH,Submitted,0% (0/0),0% (0/0),0% (0/0),59,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,25.8580513403246
562,562,888,888,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1OR0VL67VF5RH,Submitted,0% (0/0),0% (0/0),0% (0/0),59,7,0,,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,1114.93653074053
427,583,558,143,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AE3OGDBIWGFCS,Submitted,0% (0/0),0% (0/0),0% (0/0),102,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,15.7248259053974
431,576,545,151,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2LD0G04R6MNX7,Submitted,0% (0/0),0% (0/0),0% (0/0),72,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,16.1399465127096
427,580,544,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A33FNIU5WLETAE,Submitted,0% (0/0),0% (0/0),0% (0/0),70,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.84237136717533
426,580,543,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A76JFNRDFGHYZ,Submitted,0% (0/0),0% (0/0),0% (0/0),103,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.40947410382735
423,583,540,141,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2GFU1QB3HGIX7,Submitted,0% (0/0),0% (0/0),0% (0/0),30,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.84001258687187
426,581,543,147,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A4Q3XU50SBE2,Submitted,0% (0/0),0% (0/0),0% (0/0),123,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.22642610565233
426,584,547,141,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1K61OKMPRZUML,Submitted,0% (0/0),0% (0/0),0% (0/0),108,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.9104915483448
429,577,542,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AN1TY8Z9G7JOD,Submitted,0% (0/0),0% (0/0),0% (0/0),67,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.4468276614967
414,572,550,132,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2Z5Z53HZL34C3,Submitted,0% (0/0),0% (0/0),0% (0/0),117,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,25.8389947586315
426,576,532,133,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2L0ALQC1C642S,Submitted,0% (0/0),0% (0/0),0% (0/0),79,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,24.3007100534822
524,529,609,549,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2L0ALQC1C642S,Submitted,0% (0/0),0% (0/0),0% (0/0),79,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,527.880445457803
593,615,598,555,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2L0ALQC1C642S,Submitted,0% (0/0),0% (0/0),0% (0/0),79,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,590.265593235867
429,580,543,145,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A12USPXK8LAYOW,Submitted,0% (0/0),0% (0/0),0% (0/0),65,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.18292399176757
422,584,548,139,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2ZRL1ZWWXJ0L7,Submitted,0% (0/0),0% (0/0),0% (0/0),109,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.20260147027704
427,583,547,138,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AH3W6E7W1EU0D,Submitted,0% (0/0),0% (0/0),0% (0/0),71,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.53799347739712
432,575,548,133,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AZX87Z776A6KN,Submitted,0% (0/0),0% (0/0),0% (0/0),37,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.6489920717624
431,587,549,143,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1IZCM9MQFBX4Z,Submitted,0% (0/0),0% (0/0),0% (0/0),131,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.2575836136494
414,597,557,120,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A3D73QRRR1WXS4,Submitted,0% (0/0),0% (0/0),0% (0/0),46,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,44.2128531931154
418,576,542,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,AGOVTXADH671R,Submitted,0% (0/0),0% (0/0),0% (0/0),82,7,0,,,mouse,,,,FALSE,FALSE,mouse,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.2092867414556
387,581,568,126,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1RQY25NK9OIP6,Submitted,0% (0/0),0% (0/0),0% (0/0),208,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,61.1171662702237
421,590,555,134,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A1C5TWMUMBW0RX,Submitted,0% (0/0),0% (0/0),0% (0/0),47,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,23.7705959901003
436,596,545,125,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2DP95A3RPQU9A,Submitted,0% (0/0),0% (0/0),0% (0/0),144,7,0,,,touchscreen,,,,TRUE,TRUE,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,35.7138276664318
465,543,422,186,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,186.427314168731
438,466,365,227,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,322.384040191975
431,439,360,251,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,362.958976928384
424,433,293,282,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,454.433120198886
433,439,254,230,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,457.123804998746
438,463,224,209,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,455.973673953989
448,465,211,184,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,457.415108468962
444,447,208,201,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,483.104654984646
439,463,226,220,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,459.697130538146
453,547,183,163,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,402.065759959146
448,547,185,181,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,411.162387499854
462,536,162,155,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,431.003328627603
474,528,155,146,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,445.900700504043
437,481,391,366,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,398.255737951489
449,482,407,389,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,404.731584829182
452,466,418,401,3P7QK0GJ4W3ZOY1A9R0BSX6YA2TZ2D,3I6QNRBGCZ15BSXQIQRC1WJJE38CJH,$0.05,3600,A2A26PQIJST09Q,Submitted,0% (0/0),0% (0/0),0% (0/0),1909,7,0,,,trackpad,,,,FALSE,FALSE,trackpad,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,411.839147574142
