top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,ImageId,in_treatment,bound_size,bounding_box_score
426,580,543,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1CJSTWCQ3OESU,Submitted,0% (0/0),0% (0/0),0% (0/0),1121,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
427,582,546,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3UYCT52TRXOGN,Submitted,0% (0/0),0% (0/0),0% (0/0),32,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.48113886653889
431,580,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A34Z9QBE5J24HM,Submitted,0% (0/0),0% (0/0),0% (0/0),187,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.95002940818528
420,579,554,133,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A10Y4I2Z2DGF3V,Submitted,0% (0/0),0% (0/0),0% (0/0),24,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.7301643775904
426,582,543,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3MPUWHP90D17P,Submitted,0% (0/0),0% (0/0),0% (0/0),62,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
428,589,554,148,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2A3T1M3EL7UY2,Submitted,0% (0/0),0% (0/0),0% (0/0),14,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,19.4271015462062
426,580,544,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AVJLU2RW9PQFH,Submitted,0% (0/0),0% (0/0),0% (0/0),95,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.87476899571434
425,585,548,136,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3D81W0R9UOJP2,Submitted,0% (0/0),0% (0/0),0% (0/0),68,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.8823822504703
433,570,545,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AM7TAVQUJQXGM,Submitted,0% (0/0),0% (0/0),0% (0/0),45,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,20.0257995745186
433,441,330,322,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AM7TAVQUJQXGM,Submitted,0% (0/0),0% (0/0),0% (0/0),45,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,441.791707018632
425,582,545,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1V9MN88VQ1LEB,Submitted,0% (0/0),0% (0/0),0% (0/0),21,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.83769065641619
412,574,556,136,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2MHSOKJSLELL,Submitted,0% (0/0),0% (0/0),0% (0/0),101,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,26.6814562585862
430,580,543,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1MYCZT6OX9G20,Submitted,0% (0/0),0% (0/0),0% (0/0),92,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.04314446044953
425,584,548,140,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1TG7LXRTBR86O,Submitted,0% (0/0),0% (0/0),0% (0/0),54,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.01005042932653
425,581,547,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1BANTV8HONS2C,Submitted,0% (0/0),0% (0/0),0% (0/0),31,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.20312309497613
424,578,547,143,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2RHLZO74ZXQV3,Submitted,0% (0/0),0% (0/0),0% (0/0),20,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.38152279488342
425,580,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3KSAP865D3L7D,Submitted,0% (0/0),0% (0/0),0% (0/0),45,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.10809891893932
425,581,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3UF6XXFFRR237,Submitted,0% (0/0),0% (0/0),0% (0/0),140,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.82726576637245
412,586,549,131,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,ACSTBLCWTGVPX,Submitted,0% (0/0),0% (0/0),0% (0/0),18,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,26.1005479574241
392,622,566,126,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1MNR2V2WZ4VQS,Submitted,0% (0/0),0% (0/0),0% (0/0),59,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,82.9978213689428
426,580,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,APPNTU0LE3T9L,Submitted,0% (0/0),0% (0/0),0% (0/0),78,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.02073791231193
426,580,543,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2ZHUJEIMZNPTO,Submitted,0% (0/0),0% (0/0),0% (0/0),73,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
426,582,544,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1FX8F01U16YKS,Submitted,0% (0/0),0% (0/0),0% (0/0),73,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.92295275792008
418,582,550,138,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1JVFEIQP6X5H6,Submitted,0% (0/0),0% (0/0),0% (0/0),43,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.4979564472272
425,581,549,149,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A24OGK5X2JPSKC,Submitted,0% (0/0),0% (0/0),0% (0/0),22,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.1132091388622
430,576,544,150,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3JVBA4KLPR3SE,Submitted,0% (0/0),0% (0/0),0% (0/0),38,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.3460521908108
430,582,543,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A226S9LUL53Q01,Submitted,0% (0/0),0% (0/0),0% (0/0),60,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.40736222864698
418,588,554,133,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1NRY8C3CRE0DQ,Submitted,0% (0/0),0% (0/0),0% (0/0),31,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,23.6211690236135
421,588,548,140,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1XDZEODPAFC5K,Submitted,0% (0/0),0% (0/0),0% (0/0),34,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.2690356403524
426,579,545,142,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A10XK1PCN65URM,Submitted,0% (0/0),0% (0/0),0% (0/0),44,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.45073636059385
422,584,550,136,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A302KOFOYLD89A,Submitted,0% (0/0),0% (0/0),0% (0/0),197,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.6689094854722
413,418,358,354,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A302KOFOYLD89A,Submitted,0% (0/0),0% (0/0),0% (0/0),197,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,453.306151478064
425,578,544,151,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3SUMGGFWKMQ3D,Submitted,0% (0/0),0% (0/0),0% (0/0),42,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.39516440122412
427,578,547,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3IHJF96MZ9VNX,Submitted,0% (0/0),0% (0/0),0% (0/0),115,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.23602024360443
422,584,546,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1DA6S5V66LLDW,Submitted,0% (0/0),0% (0/0),0% (0/0),9,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.13554279917549
427,583,546,137,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3RU8J5I8NMKPD,Submitted,0% (0/0),0% (0/0),0% (0/0),169,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.9609264222871
429,583,543,148,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A28QUR0QYD2WI7,Submitted,0% (0/0),0% (0/0),0% (0/0),59,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.3147732950849
430,580,544,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A18R8GG33EVI6C,Submitted,0% (0/0),0% (0/0),0% (0/0),150,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.85708478957759
422,578,546,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2XI3DX3IJ1TAV,Submitted,0% (0/0),0% (0/0),0% (0/0),33,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.13554279917549
423,581,548,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2LXTB0FC6ULU1,Submitted,0% (0/0),0% (0/0),0% (0/0),72,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.14565257833688
431,580,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A68UG55LKRKMS,Submitted,0% (0/0),0% (0/0),0% (0/0),31,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.95002940818528
430,581,544,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,ANAFNJUX1C8NB,Submitted,0% (0/0),0% (0/0),0% (0/0),44,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.67403679140257
425,580,544,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A139DFNZS0I9RB,Submitted,0% (0/0),0% (0/0),0% (0/0),152,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.37453153274492
426,587,562,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1HB66GVK371DC,Submitted,0% (0/0),0% (0/0),0% (0/0),59,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,23.508864401425
428,583,545,142,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2PJBSDDN22XIX,Submitted,0% (0/0),0% (0/0),0% (0/0),21,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.4347619604444
408,582,557,143,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A84SHOZ8RIITN,Submitted,0% (0/0),0% (0/0),0% (0/0),14,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,21.2808777607715
424,583,546,141,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1QBX8RHKY9876,Submitted,0% (0/0),0% (0/0),0% (0/0),46,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.45347700815767
416,587,553,140,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A286S91QL5YO87,Submitted,0% (0/0),0% (0/0),0% (0/0),32,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,18.4478107818058
422,581,547,140,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1F6X8J1FG0EU7,Submitted,0% (0/0),0% (0/0),0% (0/0),46,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.45347700815767
426,582,549,143,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A12VVC5C5Y53VZ,Submitted,0% (0/0),0% (0/0),0% (0/0),92,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.85965870853039
425,580,545,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AGLIN8XRD93R8,Submitted,0% (0/0),0% (0/0),0% (0/0),45,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.25009218681938
432,578,546,149,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1NZ6JTBHVG3VJ,Submitted,0% (0/0),0% (0/0),0% (0/0),656,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.5030158391276
426,581,544,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3IX3T6RLEFTTS,Submitted,0% (0/0),0% (0/0),0% (0/0),91,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.73990475974505
410,461,221,217,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1BB6H5STZAMMO,Submitted,0% (0/0),0% (0/0),0% (0/0),39,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,464.736305964538
413,581,545,139,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1BB6H5STZAMMO,Submitted,0% (0/0),0% (0/0),0% (0/0),39,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,15.3658893325347
426,579,544,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A2G6O3F81FL149,Submitted,0% (0/0),0% (0/0),0% (0/0),94,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.41194340686257
413,588,576,111,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A19AZJ6Y8UUTI5,Submitted,0% (0/0),0% (0/0),0% (0/0),39,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,66.3417125410142
425,580,543,143,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AU04NHNF2WGMK,Submitted,0% (0/0),0% (0/0),0% (0/0),26,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.98365957301378
426,580,543,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1WF1X8PQQJ2OQ,Submitted,0% (0/0),0% (0/0),0% (0/0),87,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
424,578,546,142,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A79JXN98QXZC1,Submitted,0% (0/0),0% (0/0),0% (0/0),51,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.65387310016645
426,582,544,143,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A18H3EK547GHD4,Submitted,0% (0/0),0% (0/0),0% (0/0),44,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.16273118019198
428,581,543,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A3S5AA4R3RIEEP,Submitted,0% (0/0),0% (0/0),0% (0/0),42,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.96314700189571
429,583,546,144,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A1NWXL4QO30M8U,Submitted,0% (0/0),0% (0/0),0% (0/0),16,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.28156472543174
428,585,542,146,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A18HKVZLIAQCWE,Submitted,0% (0/0),0% (0/0),0% (0/0),25,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.58532211248009
430,578,542,147,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A6ZE9VR70ONMW,Submitted,0% (0/0),0% (0/0),0% (0/0),54,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.2720683021214
423,589,546,139,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,AZPJUBGJZ3BT4,Submitted,0% (0/0),0% (0/0),0% (0/0),53,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.7990362600391
424,589,551,145,3UEBBGULQI623TJCRZGAVOL8HK2FUZ,3U20ZGNLAS4MWP22HDXQICWS88DD74,$0.02,3600,A6Z9ZUFI0SMX1,Submitted,0% (0/0),0% (0/0),0% (0/0),60,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.5263700626411
