top,bottom,right,left,HITId,HITTypeId,Reward,AssignmentDurationInSeconds,WorkerId,AssignmentStatus,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,WorkTimeInSeconds,experiment_no,is_pilot,didbf,monitor,mousetrackpad,age,income,edu,is_mobile,mousetrackpad2,ImageId,in_treatment,bound_size,bounding_box_score
426,580,543,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3RUKVMI0RQ7HZ,Submitted,0% (0/0),0% (0/0),0% (0/0),297,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
426,579,545,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1APCXH990DEK,Submitted,0% (0/0),0% (0/0),0% (0/0),664,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.34418037445839
429,583,544,150,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2BW8H2IGOKBWD,Submitted,0% (0/0),0% (0/0),0% (0/0),146,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.9754601268014
382,602,611,106,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A30MCJGY07VV4L,Submitted,0% (0/0),0% (0/0),0% (0/0),38,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,121.391934919314
426,576,543,148,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2JAMNGL6SDAHQ,Submitted,0% (0/0),0% (0/0),0% (0/0),785,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.40768698616409
405,580,563,120,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2L6JHIJDE1F2X,Submitted,0% (0/0),0% (0/0),0% (0/0),57,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,49.8027795904114
410,591,564,117,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AKCFXYKTYR8HW,Submitted,0% (0/0),0% (0/0),0% (0/0),48,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,52.0846991269595
425,582,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AI8A9G2N9JJ4S,Submitted,0% (0/0),0% (0/0),0% (0/0),126,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.10809891893932
427,577,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AG1OG2FU9F09G,Submitted,0% (0/0),0% (0/0),0% (0/0),182,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.11838357958114
429,579,548,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2WG4QWEKAHZTZ,Submitted,0% (0/0),0% (0/0),0% (0/0),58,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.12398975250538
426,580,543,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2526X03E9SRLI,Submitted,0% (0/0),0% (0/0),0% (0/0),205,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.50725925821921
427,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1UQS11PWJLH8B,Submitted,0% (0/0),0% (0/0),0% (0/0),105,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.70750713120604
425,584,544,147,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2E6XMF37EIERE,Submitted,0% (0/0),0% (0/0),0% (0/0),65,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.90421393229499
424,580,547,142,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ANJM3VDQRW9F5,Submitted,0% (0/0),0% (0/0),0% (0/0),65,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.04807582768076
683,683,911,911,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ANJM3VDQRW9F5,Submitted,0% (0/0),0% (0/0),0% (0/0),65,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,1223.05237314209
427,583,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AWU522IJMK5EB,Submitted,0% (0/0),0% (0/0),0% (0/0),108,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.6539332368584
426,580,544,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A231WIOBCVFWFD,Submitted,0% (0/0),0% (0/0),0% (0/0),103,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.92295275792008
405,599,594,111,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3BA2VPNA8B9NB,Submitted,0% (0/0),0% (0/0),0% (0/0),26,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,89.9198508901357
426,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1XYBBMJI8Q1WS,Submitted,0% (0/0),0% (0/0),0% (0/0),231,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.73990475974505
426,581,543,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AENXVJIJ5UVC7,Submitted,0% (0/0),0% (0/0),0% (0/0),106,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.22642610565233
426,581,547,142,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A20JVRNN0C4H12,Submitted,0% (0/0),0% (0/0),0% (0/0),72,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.45347700815767
429,578,545,147,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1UFDXR3WKRKY0,Submitted,0% (0/0),0% (0/0),0% (0/0),342,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.72989141315763
431,586,542,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A177149MJHLHUO,Submitted,0% (0/0),0% (0/0),0% (0/0),50,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.5220769006889
586,592,352,344,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A177149MJHLHUO,Submitted,0% (0/0),0% (0/0),0% (0/0),50,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,452.643850746293
426,580,543,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2UFCOAUG7A4RP,Submitted,0% (0/0),0% (0/0),0% (0/0),110,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.40947410382735
424,582,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2MV1325939NBM,Submitted,0% (0/0),0% (0/0),0% (0/0),33,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,1.82726576637245
426,578,547,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3POPPPJEE7Y1Q,Submitted,0% (0/0),0% (0/0),0% (0/0),71,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.16098413936371
423,579,542,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A14ZGLZ60YXUJ3,Submitted,0% (0/0),0% (0/0),0% (0/0),157,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.92295275792008
414,580,547,141,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ATYGVWSQW8X39,Submitted,0% (0/0),0% (0/0),0% (0/0),71,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,12.8378299034452
426,580,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3A1PY8GLGYRR5,Submitted,0% (0/0),0% (0/0),0% (0/0),89,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.02073791231193
425,582,545,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AB5BVAK003LIX,Submitted,0% (0/0),0% (0/0),0% (0/0),52,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.25009218681938
426,582,546,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1TB28SHYM0EJQ,Submitted,0% (0/0),0% (0/0),0% (0/0),99,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.60586039962542
415,577,561,136,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AL1ZXU9XK95PA,Submitted,0% (0/0),0% (0/0),0% (0/0),16,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,27.048890768268
430,577,544,150,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AUS6Y1VBX9YLO,Submitted,0% (0/0),0% (0/0),0% (0/0),47,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.7857849813272
428,574,544,147,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1KP6JSKQXPCSC,Submitted,0% (0/0),0% (0/0),0% (0/0),207,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,11.9407180183941
483,502,545,518,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1KP6JSKQXPCSC,Submitted,0% (0/0),0% (0/0),0% (0/0),207,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,441.879838368009
417,584,548,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1V88N4CAYSGXK,Submitted,0% (0/0),0% (0/0),0% (0/0),79,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,10.7861605842462
431,580,541,137,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3W3BL8E39MNTX,Submitted,0% (0/0),0% (0/0),0% (0/0),34,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.3279779463317
418,576,547,148,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2BW9ZRET1VR8M,Submitted,0% (0/0),0% (0/0),0% (0/0),32,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.2687099884924
427,578,543,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3DD0QR1K686WP,Submitted,0% (0/0),0% (0/0),0% (0/0),42,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.41520389670049
427,579,544,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2A1E85FL1JAB9,Submitted,0% (0/0),0% (0/0),0% (0/0),645,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.37954577832355
427,580,544,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AU6VZO8Q030YE,Submitted,0% (0/0),0% (0/0),0% (0/0),68,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.89055512938106
428,583,546,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AGUWWEFOHQ458,Submitted,0% (0/0),0% (0/0),0% (0/0),91,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.25702042382438
426,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3F51C49T9A34D,Submitted,0% (0/0),0% (0/0),0% (0/0),599,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,3.73990475974505
429,584,542,146,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AEH8OCMGLWXRL,Submitted,0% (0/0),0% (0/0),0% (0/0),37,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.65036479853989
426,583,546,142,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2T0A6J7DBSBPZ,Submitted,0% (0/0),0% (0/0),0% (0/0),137,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.83718926650593
361,601,613,134,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A6RMMV8AHXY9J,Submitted,0% (0/0),0% (0/0),0% (0/0),26,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,115.04472386537
420,582,537,130,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2C3D387PAXLSH,Submitted,0% (0/0),0% (0/0),0% (0/0),17,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,22.0211539500874
430,580,543,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AZ8MWDZYJWL9V,Submitted,0% (0/0),0% (0/0),0% (0/0),24,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,8.14092961484138
427,585,549,142,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2DVCDDVI697QR,Submitted,0% (0/0),0% (0/0),0% (0/0),33,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.51728835560854
423,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3QA62N5WAI6YJ,Submitted,0% (0/0),0% (0/0),0% (0/0),51,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.82726576637245
430,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A20TOOYZRH6KUZ,Submitted,0% (0/0),0% (0/0),0% (0/0),196,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.67403679140257
426,582,535,139,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1H6PVWRCYN0E4,Submitted,0% (0/0),0% (0/0),0% (0/0),155,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,14.3184922734399
428,582,548,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A16ZXNUKUPMH4,Submitted,0% (0/0),0% (0/0),0% (0/0),21,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.41121063591311
430,581,543,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,ADXRJFEHIDXRE,Submitted,0% (0/0),0% (0/0),0% (0/0),183,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.8600964622745
490,571,333,118,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2ME97DRJQL543,Submitted,0% (0/0),0% (0/0),0% (0/0),85,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,248.952734464046
421,575,585,136,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2ME97DRJQL543,Submitted,0% (0/0),0% (0/0),0% (0/0),85,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,49.9671104260171
426,581,544,144,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AF0RGRJ3N9BB5,Submitted,0% (0/0),0% (0/0),0% (0/0),112,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,2.73990475974505
429,579,545,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,AVL8NX27320P,Submitted,0% (0/0),0% (0/0),0% (0/0),94,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,7.59936935288745
423,582,544,140,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1M5BJTQIXCM33,Submitted,0% (0/0),0% (0/0),0% (0/0),18,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,4.69291834470935
428,581,544,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A2YXMAF0115J0F,Submitted,0% (0/0),0% (0/0),0% (0/0),236,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,5.69087644837508
426,585,545,143,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A1MWLAE9LORD9I,Submitted,0% (0/0),0% (0/0),0% (0/0),103,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,6.04830905453233
417,587,548,145,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A7FKSW0JXNHFC,Submitted,0% (0/0),0% (0/0),0% (0/0),16,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,13.9847342516373
430,578,545,142,3XU80RHWI2YTOFS8SCT9RGQNTL644M,3HD129RETGKQST545SR59U2Q0K646P,$0.05,3600,A3IWIS85XYZ93,Submitted,0% (0/0),0% (0/0),0% (0/0),28,6,0,,,,,,,,,https://kstonedev.s3-us-west-2.amazonaws.com/W241/openimages/116257e7260fdb51.jpg,0,63188.63825472,9.30466339762317
